x,c=0.5,c=1,Analytical
-50,0,0,0
-48.9899,0,0,0
-47.9798,0,0,0
-46.9697,0,0,0
-45.9596,0,0,0
-44.9495,0,0,0
-43.9394,0,0,0
-42.9293,0,0,0
-41.9192,0,0,0
-40.9091,0,0,0
-39.899,0,0,0
-38.8889,0,0,0
-37.8788,0,0,0
-36.8687,0,0,0
-35.8586,0,0,0
-34.8485,0,0,0
-33.8384,0,0,0
-32.8283,0,0,0
-31.8182,0,0,0
-30.8081,0,0,0
-29.798,0,0,0
-28.7879,0,0,0
-27.7778,0,0,0
-26.7677,6.36361e-318,0,0
-25.7576,7.00728e-295,0,0
-24.7475,1.0027e-272,0,0
-23.7374,1.86452e-251,0,0
-22.7273,4.50545e-231,0,0
-21.7172,1.41477e-211,0,0
-20.7071,5.77306e-193,0,0
-19.697,3.06128e-175,0,0
-18.6869,2.10948e-158,0,0
-17.6768,1.88896e-142,0,2.50596e-304
-16.6667,2.19808e-127,0,1.38586e-281
-15.6566,3.32385e-113,0,9.95953e-260
-14.6465,6.53152e-100,0,9.30109e-239
-13.6364,1.66787e-87,0,1.12877e-218
-12.6263,5.53458e-76,0,1.78012e-199
-11.6162,2.38662e-65,0,3.64813e-181
-10.6061,1.33738e-55,0,9.71553e-164
-9.59596,9.73877e-47,0,3.36231e-147
-8.58586,9.21569e-39,1.90934e-152,1.51211e-131
-7.57576,1.13325e-31,1.07486e-136,8.83701e-117
-6.56566,1.81095e-25,1.14968e-121,6.71122e-103
-5.55556,3.76088e-20,1.74044e-107,6.62328e-90
-4.54545,1.0155e-15,3.42465e-94,8.49416e-78
-3.53535,3.57784e-12,8.74441e-82,1.41561e-66
-2.52525,1.6894e-09,2.90171e-70,3.06577e-56
-1.51515,1.27448e-07,1.25127e-59,8.62803e-47
-0.505051,2.84424e-06,7.01174e-50,3.15544e-38
0.505051,3.27851e-05,5.10592e-41,1.49962e-30
1.51515,0.000239877,4.83168e-33,9.26147e-24
2.52525,0.0012354,5.9415e-26,7.43281e-18
3.53535,0.00475751,9.49446e-20,7.75177e-13
4.54545,0.0142376,1.9716e-14,1.05057e-08
5.55556,0.0339775,5.32039e-10,1.85022e-05
6.56566,0.0658153,1.8657e-06,0.00423444
7.57576,0.104732,0.000850193,0.125935
8.58586,0.137992,0.0503462,0.486709
9.59596,0.151207,0.387429,0.244438
10.6061,0.137992,0.387429,0.015953
11.6162,0.104732,0.0503462,0.000135298
12.6263,0.0658153,0.000850193,1.49113e-07
13.6364,0.0339775,1.8657e-06,2.13558e-11
14.6465,0.0142376,5.32039e-10,3.97458e-16
15.6566,0.00475751,1.9716e-14,9.61261e-22
16.6667,0.0012354,9.49446e-20,3.02111e-28
17.6768,0.000239877,5.9415e-26,1.23386e-35
18.6869,3.27851e-05,4.83168e-33,6.54851e-44
19.697,2.84424e-06,5.10592e-41,4.51641e-53
20.7071,1.27448e-07,7.01174e-50,4.0478e-63
21.7172,1.6894e-09,1.25127e-59,4.71433e-74
22.7273,3.57784e-12,2.90171e-70,7.13504e-86
23.7374,1.0155e-15,8.74443e-82,1.40329e-98
24.7475,3.76088e-20,3.4244e-94,3.58653e-112
25.7576,1.81095e-25,1.74265e-107,1.19118e-126
26.7677,1.13325e-31,1.15243e-121,5.14106e-142
27.7778,9.21569e-39,9.90357e-137,2.8834e-158
28.7879,9.73877e-47,1.10597e-152,2.10151e-175
29.798,1.33738e-55,1.60499e-169,1.99037e-193
30.8081,2.38662e-65,3.02675e-187,2.4497e-212
31.8182,5.53458e-76,7.41744e-206,3.918e-232
32.8283,1.66787e-87,2.36215e-225,8.14315e-253
33.8384,6.53152e-100,9.77545e-246,2.19936e-274
34.8485,3.32385e-113,5.25703e-267,7.71923e-297
35.8586,2.19808e-127,3.67383e-289,3.52071e-320
36.8687,1.88896e-142,3.33637e-312,0
37.8788,2.10948e-158,0,0
38.8889,3.06128e-175,0,0
39.899,5.77306e-193,0,0
40.9091,1.41477e-211,0,0
41.9192,4.50545e-231,0,0
42.9293,1.86452e-251,0,0
43.9394,1.0027e-272,0,0
44.9495,7.00728e-295,0,0
45.9596,6.36361e-318,0,0
46.9697,0,0,0
47.9798,0,0,0
48.9899,0,0,0
50,0,0,0
