x,N=200,N=200,Analytical
-50,0,0,0
-49.5,0,0,0
-49,0,0,0
-48.5,0,0,0
-48,0,0,0
-47.5,0,0,0
-47,0,0,0
-46.5,0,0,0
-46,0,0,0
-45.5,0,0,0
-45,0,0,0
-44.5,0,0,0
-44,0,0,0
-43.5,0,0,0
-43,0,0,0
-42.5,0,0,0
-42,0,0,0
-41.5,0,0,0
-41,0,0,0
-40.5,0,0,0
-40,0,0,0
-39.5,0,0,0
-39,0,0,0
-38.5,0,0,0
-38,0,0,0
-37.5,0,0,0
-37,0,0,0
-36.5,0,0,0
-36,0,0,0
-35.5,0,0,0
-35,0,0,0
-34.5,0,0,0
-34,0,0,0
-33.5,0,0,0
-33,0,0,0
-32.5,0,0,0
-32,0,0,0
-31.5,0,0,0
-31,0,0,0
-30.5,0,0,0
-30,0,0,0
-29.5,0,0,0
-29,0,0,0
-28.5,0,0,0
-28,0,0,0
-27.5,0,0,0
-27,0,0,0
-26.5,0,0,0
-26,0,0,0
-25.5,0,0,0
-25,0,0,0
-24.5,0,0,0
-24,0,0,0
-23.5,0,0,0
-23,0,0,0
-22.5,0,0,0
-22,0,0,0
-21.5,0,0,0
-21,0,0,0
-20.5,0,0,0
-20,0,0,0
-19.5,0,0,0
-19,0,0,0
-18.5,0,0,0
-18,0,0,0
-17.5,0,0,0
-17,0,0,0
-16.5,0,0,0
-16,0,0,0
-15.5,0,0,0
-15,0,0,0
-14.5,0,0,0
-14,0,0,0
-13.5,0,0,0
-13,0,0,0
-12.5,0,0,0
-12,0,0,0
-11.5,0,0,0
-11,0,0,0
-10.5,0,0,0
-10,0,0,0
-9.5,0,0,0
-9,0,0,0
-8.5,0,0,0
-8,0,0,0
-7.5,0,0,0
-7,0,0,0
-6.5,0,0,0
-6,0,0,0
-5.5,0,0,0
-5,0,0,0
-4.5,0,0,0
-4,0,0,0
-3.5,0,0,0
-3,0,0,0
-2.5,0,0,0
-2,0,0,0
-1.5,0,0,0
-1,0,0,0
-0.5,0,0,0
0,1.45519e-11,1.45519e-11,0
0.5,2.76486e-10,2.76486e-10,0
1,2.69938e-09,2.69938e-09,0
1.5,1.80444e-08,1.80444e-08,0
2,9.28512e-08,9.28512e-08,0
2.5,3.92079e-07,3.92079e-07,0
3,1.41444e-06,1.41444e-06,0
3.5,4.48152e-06,4.48152e-06,0
4,1.27243e-05,1.27243e-05,0
4.5,3.28733e-05,3.28733e-05,0
5,7.82086e-05,7.82086e-05,0
5.5,0.000173001,0.000173001,0
6,0.000358635,0.000358635,0
6.5,0.000701344,0.000701344,0
7,0.00130109,0.00130109,0
7.5,0.00230065,0.00230065,0
8,0.00389372,0.00389372,0
8.5,0.00633017,0.00633017,0
9,0.00991716,0.00991716,0
9.5,0.0150145,0.0150145,0
10,0.0220233,0.0220233,0
10.5,0.0313683,0.0313683,0
11,0.0434744,0.0434744,0
11.5,0.0587387,0.0587387,0
12,0.077501,0.077501,0
12.5,0.100016,0.100016,0
13,0.126427,0.126427,0
13.5,0.156752,0.156752,0
14,0.190866,0.190866,0
14.5,0.22851,0.22851,0
15,0.269291,0.269291,0
15.5,0.312703,0.312703,0
16,0.35815,0.35815,0
16.5,0.404975,0.404975,0
17,0.452487,0.452487,0
17.5,0.5,0.5,1
18,0.546853,0.546853,1
18.5,0.592439,0.592439,1
19,0.636226,0.636226,1
19.5,0.677768,0.677768,1
20,0.716713,0.716713,1
20.5,0.752809,0.752809,1
21,0.785896,0.785896,1
21.5,0.815906,0.815906,1
22,0.842847,0.842847,1
22.5,0.866794,0.866794,1
23,0.887878,0.887878,1
23.5,0.90627,0.90627,1
24,0.922172,0.922172,1
24.5,0.935802,0.935802,1
25,0.947387,0.947387,1
25.5,0.957156,0.957156,1
26,0.965327,0.965327,1
26.5,0.972111,0.972111,1
27,0.977701,0.977701,1
27.5,0.982275,0.982275,1
28,0.985992,0.985992,1
28.5,0.988991,0.988991,1
29,0.991395,0.991395,1
29.5,0.993311,0.993311,1
30,0.994827,0.994827,1
30.5,0.99602,0.99602,1
31,0.996954,0.996954,1
31.5,0.99768,0.99768,1
32,0.998241,0.998241,1
32.5,0.998673,0.998673,1
33,0.999004,0.999004,1
33.5,0.999255,0.999255,1
34,0.999446,0.999446,1
34.5,0.999589,0.999589,1
35,0.999697,0.999697,1
35.5,0.999777,0.999777,1
36,0.999837,0.999837,1
36.5,0.999881,0.999881,1
37,0.999914,0.999914,1
37.5,0.999938,0.999938,1
38,0.999955,0.999955,1
38.5,0.999968,0.999968,1
39,0.999977,0.999977,1
39.5,0.999984,0.999984,1
40,0.999988,0.999988,1
40.5,0.999992,0.999992,1
41,0.999994,0.999994,1
41.5,0.999996,0.999996,1
42,0.999997,0.999997,1
42.5,0.999998,0.999998,1
43,0.999999,0.999999,1
43.5,0.999999,0.999999,1
44,0.999999,0.999999,1
44.5,1,1,1
45,1,1,1
45.5,1,1,1
46,1,1,1
46.5,1,1,1
47,1,1,1
47.5,1,1,1
48,1,1,1
48.5,1,1,1
49,1,1,1
49.5,1,1,1
50,1,1,3.85403e-57
