x,c=0.5,c=1,Analytical
-50,0,0,0
-48.9899,0,0,0
-47.9798,0,0,0
-46.9697,0,0,0
-45.9596,0,0,0
-44.9495,0,0,0
-43.9394,0,0,0
-42.9293,0,0,0
-41.9192,0,0,0
-40.9091,0,0,0
-39.899,0,0,0
-38.8889,0,0,0
-37.8788,0,0,0
-36.8687,0,0,0
-35.8586,0,0,0
-34.8485,0,0,0
-33.8384,0,0,0
-32.8283,0,0,0
-31.8182,0,0,0
-30.8081,0,0,0
-29.798,0,0,0
-28.7879,0,0,0
-27.7778,0,0,0
-26.7677,1.52753e-318,6.36361e-318,0
-25.7576,1.68203e-295,7.00728e-295,0
-24.7475,2.40688e-273,1.0027e-272,0
-23.7374,4.4756e-252,1.86452e-251,0
-22.7273,1.08149e-231,4.50545e-231,0
-21.7172,3.39601e-212,1.41477e-211,0
-20.7071,1.38577e-193,5.77306e-193,0
-19.697,7.34831e-176,3.06128e-175,0
-18.6869,5.0636e-159,2.10948e-158,0
-17.6768,4.53426e-143,1.88896e-142,0
-16.6667,5.27629e-128,2.19808e-127,0
-15.6566,7.97859e-114,3.32385e-113,0
-14.6465,1.56783e-100,6.53152e-100,0
-13.6364,4.00356e-88,1.66787e-87,0
-12.6263,1.32852e-76,5.53458e-76,0
-11.6162,5.72885e-66,2.38662e-65,0
-10.6061,3.21026e-56,1.33738e-55,0
-9.59596,2.3377e-47,9.73877e-47,6.98016e-320
-8.58586,2.21214e-39,9.21569e-39,1.49186e-296
-7.57576,2.72027e-32,1.13325e-31,4.14354e-274
-6.56566,4.34699e-26,1.81094e-25,1.49551e-252
-5.55556,9.02733e-21,3.76071e-20,7.01431e-232
-4.54545,2.43698e-16,1.01514e-15,4.27518e-212
-3.53535,8.5712e-13,3.56819e-12,3.3861e-193
-2.52525,3.99521e-10,1.65547e-09,3.48513e-175
-1.51515,2.77849e-08,1.11602e-07,4.66137e-158
-0.505051,4.8306e-07,1.72884e-06,8.10185e-142
0.505051,4.13418e-06,1.25916e-05,1.82991e-126
1.51515,2.28774e-05,5.89266e-05,5.37094e-112
2.52525,9.32907e-05,0.000204482,2.04855e-98
3.53535,0.000302081,0.000569673,1.01535e-85
4.54545,0.000814666,0.00133899,6.53977e-74
5.55556,0.00189089,0.00274585,5.47373e-63
6.56566,0.00386853,0.00503186,5.9536e-53
7.57576,0.00710307,0.0083883,8.41494e-44
8.58586,0.0118707,0.0128962,1.5456e-35
9.59596,0.0182605,0.0184833,3.68909e-28
10.6061,0.026094,0.0249113,1.14424e-21
11.6162,0.0349023,0.0317977,4.61199e-16
12.6263,0.0439773,0.038667,2.41566e-11
13.6364,0.0524835,0.0450174,1.64421e-07
14.6465,0.0596027,0.05039,0.000145431
15.6566,0.064672,0.0544251,0.0167159
16.6667,0.0672842,0.0568985,0.249676
17.6768,0.0673303,0.0577338,0.484618
18.6869,0.0649844,0.0569933,0.122236
19.697,0.0606425,0.0548522,0.00400656
20.7071,0.0548369,0.0515647,1.70655e-05
21.7172,0.0481459,0.0474265,9.44591e-09
22.7273,0.0411162,0.0427413,6.79426e-13
23.7374,0.0342092,0.0377932,6.35063e-18
24.7475,0.0277709,0.0328281,7.71375e-24
25.7576,0.0220264,0.0280427,1.21756e-30
26.7677,0.01709,0.0235813,2.49741e-38
27.7778,0.0129861,0.0195382,6.65678e-47
28.7879,0.00967409,0.0159636,2.30576e-56
29.798,0.00707225,0.0128718,1.03786e-66
30.8081,0.0050782,0.0102498,6.07071e-78
31.8182,0.00358451,0.00806557,4.61439e-90
32.8283,0.00248916,0.00627569,4.5579e-103
33.8384,0.00170173,0.00483095,5.85047e-117
34.8485,0.00114614,0.00368105,9.75869e-132
35.8586,0.000760973,0.00277771,2.11528e-147
36.8687,0.000498352,0.00207667,5.95825e-164
37.8788,0.000322092,0.00153885,2.18095e-181
38.8889,0.000205555,0.00113067,1.0374e-199
39.899,0.000129596,0.000824045,6.41244e-219
40.9091,8.07545e-05,0.000595913,5.1508e-239
41.9192,4.97561e-05,0.000427731,5.37653e-260
42.9293,3.03253e-05,0.000304821,7.29296e-282
43.9394,1.829e-05,0.000215738,1.28553e-304
44.9495,1.09202e-05,0.000151681,0
45.9596,6.45659e-06,0.000105966,0
46.9697,3.78162e-06,7.3576e-05,0
47.9798,2.19477e-06,5.0785e-05,0
48.9899,1.2626e-06,3.48543e-05,0
50,0,0,0
