x,c=0.5,c=1,Analytical
-50,0,0,0
-48.9899,8.9416e-103,0,0
-47.9798,3.85579e-92,0,0
-46.9697,2.16066e-82,0,0
-45.9596,1.57338e-73,0,0
-44.9495,1.48887e-65,0,0
-43.9394,1.83084e-58,0,0
-42.9293,2.92531e-52,0,0
-41.9192,6.06915e-47,0,0
-40.9091,1.62636e-42,0,0
-39.899,5.39639e-39,0,0
-38.8889,1.41496e-36,0,0
-37.8788,-2.83465e-34,0,0
-36.8687,1.82038e-32,0,0
-35.8586,-3.14786e-31,0,0
-34.8485,-3.09454e-29,0,0
-33.8384,2.89286e-27,0,0
-32.8283,-1.3737e-25,0,0
-31.8182,4.56757e-24,0,0
-30.8081,-1.16523e-22,0,0
-29.798,2.37605e-21,0,0
-28.7879,-3.95295e-20,0,0
-27.7778,5.40923e-19,0,0
-26.7677,-6.06733e-18,0,0
-25.7576,5.46278e-17,0,0
-24.7475,-3.70564e-16,0,0
-23.7374,1.47293e-15,0,0
-22.7273,3.97998e-15,0,0
-21.7172,-1.39357e-13,0,0
-20.7071,1.5211e-12,0,0
-19.697,-1.14133e-11,0,0
-18.6869,6.53835e-11,0,0
-17.6768,-2.90243e-10,0,0
-16.6667,9.63097e-10,0,0
-15.6566,-2.07628e-09,0,0
-14.6465,9.32589e-10,0,0
-13.6364,1.24095e-08,0,0
-12.6263,-4.81913e-08,0,0
-11.6162,5.92411e-08,0,0
-10.6061,1.47157e-07,0,0
-9.59596,-6.74804e-07,0,6.98016e-320
-8.58586,4.98321e-07,0,1.49186e-296
-7.57576,2.65048e-06,0,4.14354e-274
-6.56566,-6.08009e-06,0,1.49551e-252
-5.55556,-5.18182e-06,0,7.01431e-232
-4.54545,3.09073e-05,0,4.27518e-212
-3.53535,-4.10002e-07,0,3.3861e-193
-2.52525,-0.000118635,0,3.48513e-175
-1.51515,3.78006e-05,0,4.66137e-158
-0.505051,0.000403161,0,8.10185e-142
0.505051,-0.000107144,0,1.82991e-126
1.51515,-0.00126315,0,5.37094e-112
2.52525,-0.000127386,0,2.04855e-98
3.53535,0.00342485,0,1.01535e-85
4.54545,0.00247722,0,6.53977e-74
5.55556,-0.00660316,0,5.47373e-63
6.56566,-0.0115948,0,5.9536e-53
7.57576,0.00309499,0,8.41494e-44
8.58586,0.027714,0,1.5456e-35
9.59596,0.0274914,4.59177e-41,3.68909e-28
10.6061,-0.0156856,4.82686e-33,1.14424e-21
11.6162,-0.0707191,5.94138e-26,4.61199e-16
12.6263,-0.0804483,9.49446e-20,2.41566e-11
13.6364,-0.0174575,1.9716e-14,1.64421e-07
14.6465,0.0895181,5.32039e-10,0.000145431
15.6566,0.182431,1.8657e-06,0.0167159
16.6667,0.220091,0.000850193,0.249676
17.6768,0.200179,0.0503462,0.484618
18.6869,0.147864,0.387429,0.122236
19.697,0.0918004,0.387429,0.00400656
20.7071,0.0488156,0.0503462,1.70655e-05
21.7172,0.0224844,0.000850193,9.44591e-09
22.7273,0.0090315,1.8657e-06,6.79426e-13
23.7374,0.0031759,5.32039e-10,6.35063e-18
24.7475,0.000979331,1.9716e-14,7.71375e-24
25.7576,0.000264792,9.49446e-20,1.21756e-30
26.7677,6.26687e-05,5.9415e-26,2.49741e-38
27.7778,1.294e-05,4.83168e-33,6.65678e-47
28.7879,2.31946e-06,5.10592e-41,2.30576e-56
29.798,3.58414e-07,7.01174e-50,1.03786e-66
30.8081,4.73011e-08,1.25127e-59,6.07071e-78
31.8182,5.26554e-09,2.90171e-70,4.61439e-90
32.8283,4.86264e-10,8.74443e-82,4.5579e-103
33.8384,3.64169e-11,3.4244e-94,5.85047e-117
34.8485,2.14217e-12,1.74265e-107,9.75869e-132
35.8586,9.44043e-14,1.15243e-121,2.11528e-147
36.8687,2.89078e-15,9.90357e-137,5.95825e-164
37.8788,5.37763e-17,1.10597e-152,2.18095e-181
38.8889,4.55974e-19,1.60499e-169,1.0374e-199
39.899,8.80656e-22,3.02675e-187,6.41244e-219
40.9091,2.46733e-25,7.41744e-206,5.1508e-239
41.9192,9.12211e-30,2.36215e-225,5.37653e-260
42.9293,4.39153e-35,9.77545e-246,7.29296e-282
43.9394,2.74805e-41,5.25703e-267,1.28553e-304
44.9495,2.23472e-48,3.67383e-289,0
45.9596,2.36156e-56,3.33637e-312,0
46.9697,3.24303e-65,0,0
47.9798,5.78733e-75,0,0
48.9899,1.34209e-85,0,0
50,0,0,0
